addressDetail,cityName,pro,rownum,storeName
小营东路3号北京凯基伦购物中心一层西侧,北京市,"24小时,Wi-Fi,店内参观,礼品卡",1,育慧里
朝阳路杨闸环岛西北京通苑30号楼一层南侧,北京市,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,手机点餐",2,京通新城
北京经济技术开发区（大兴）旧宫西路3号物美商城一层,北京市,"Wi-Fi,店内参观,礼品卡",3,旧宫
黄寺大街15号北京城乡黄寺商厦,北京市,"Wi-Fi,点唱机,店内参观,礼品卡",4,黄寺大街
西四环北路117号北京欧尚超市F1、B1,北京市,"Wi-Fi,礼品卡",5,四季青桥
北京经济开发区西环北路18号F1＋F2,北京市,"Wi-Fi,礼品卡,手机点餐",6,亦庄
通顺路石园西区南侧北京顺义西单商场石园分店一层、二层部分,北京市,"Wi-Fi,店内参观,礼品卡",7,石园南大街
北京南站候车大厅B岛201号,北京市,"Wi-Fi,礼品卡",8,北京南站
北京北清路1号146区,北京市,"点唱机,礼品卡",9,北清路
巴沟路2号北京华联万柳购物中心一层,北京市,"Wi-Fi,礼品卡",10,巴沟
南磨房乡小武基北路北京欢乐谷内欢乐时光区一层,北京市,礼品卡,11,欢乐谷
经济技术开发区文化园东路6号北京经开汇展中心1-2层,北京市,"Wi-Fi,店内参观,礼品卡",12,亦庄沃尔玛
北京南站候车大厅地下一层（快速进站口1）部分场地,北京市,"Wi-Fi,礼品卡",13,北京南站二
北京火车站候车大厅一层西侧原商务中心,北京市,"精选店,礼品卡",14,北京站Select
莲花桥东路118号北京西客站候车大厅内2层第4营业厅及2层夹层回廊,北京市,礼品卡,15,西客站内三
杨庄北里五十二号天时名苑小区十四号楼北京华联南侧一层,北京市,"Wi-Fi,店内参观,礼品卡",16,通州北苑华联
北京路与泰安路交汇处银座一楼肯德基,日照市,"Wi-Fi,店内参观,礼品卡",17,日照银座餐厅
北京中路227号肯德基餐厅,荆州市,"Wi-Fi,点唱机,礼品卡",18,荆州北京路
沙市中商百货一楼北京路中路173号,荆州市,"点唱机,礼品卡",19,荆州月亮湾
建新镇金山大道100号北京金山05店面,福州市,"24小时,Wi-Fi,点唱机,店内参观,礼品卡",20,金山
北京南站地下一层南大门内东侧场地快速进站口3与快速进站口4中间,北京市,礼品卡,21,北京南站三
北京南站地下一层到达层西南侧第5出站口旁,北京市,礼品卡,22,北京南站五
北京南站二层旅客出发层西南角（23B检票口）旁,北京市,礼品卡,23,北京南站六
马坡镇顺城大街29号北京乡村乐园一层,北京市,"Wi-Fi,店内参观,礼品卡",24,马坡汽车穿梭
南四环成寿寺路308号北京城外诚家居广场停车广场,北京市,"Wi-Fi,店内参观,礼品卡",25,新城外城DT
北京南路895号电话3822695,乌鲁木齐市,"Wi-Fi,点唱机,礼品卡",26,铁路
北京南路28号家乐福苏州路购物中心一层肯德基餐厅,乌鲁木齐市,"Wi-Fi,点唱机,店内参观,礼品卡",27,苏州路
兴安北路169号北京华联一层,呼和浩特市,"Wi-Fi,点唱机,店内参观,礼品卡",28,蒙苑
南昌路982号新北京华联一层,兰州市,"Wi-Fi,店内参观,礼品卡",29,南昌
府东街18号北京华联超一层,太原市,"Wi-Fi,点唱机,店内参观,礼品卡",30,太原府东
新华路138号鑫乐广场（北京华联超市旁）,南京市,"Wi-Fi,店内参观,礼品卡",31,金利
北京东路与营盘山路交叉口大润发超市一楼,芜湖市,"24小时,Wi-Fi,店内参观,礼品卡",32,芜湖营盘山路
北京新村五区新苑逸城,淮安市,"24小时,Wi-Fi,店内参观,礼品卡",33,淮安北京路苏果
金阳新区北京西路金源时代购物中心一层,贵阳市,"24小时,Wi-Fi,点唱机,店内参观,礼品卡",34,金阳82266155
仁怀市中枢镇酒都新区国酒大道超一时代广场一楼北京华联旁,遵义市,"24小时,Wi-Fi,点唱机,礼品卡",35,国酒路
北京路延长线大白庙村家乐福超市一楼,昆明市,"24小时,Wi-Fi,点唱机,礼品卡",36,白云
北京路延长线财富中心E栋,昆明市,"24小时,Wi-Fi,礼品卡",37,北辰
北海大道与北京路交汇处北海城购物广场首层,北海市,"24小时,Wi-Fi,点唱机,店内参观,礼品卡",38,购物广场
